:ﻝﻭﺪﺠﻟﺍ ﻖﻴﺴﻨﺗ //
//
//    subject; subj nominative; subj genitive
//
.ﻪﻔﺻﻭﻭ ﺏﺎﺘﻜﻟﺍ ﻢﺳﺍ ﺪﻴﻟﻮﺗ ﻲﻓ ﻡﺪﺨﺘﺴُﻳ ،Core\..\SkillDef\Skills.xml ﻦﻣ "subject" ﺮﻴﻐﺘﻤﻟﺍ — subject //
.ﺏﺎﺘﻜﻟﺍ ﻢﺳﺍ ﺪﻴﻟﻮﺗ ﻲﻓ ﻡﺪﺨﺘﺴُﻳ ،subject ـﻟ ﻑﺩﺍﺮﻣ ﻭﺃ ﺓﺮﻴﺼﻗ ﺔﻐﻴﺻ — subj //

// Animals
ﺕﺎﻧﺍﻮﻴﺤﻟﺍ ;ﺕﺎﻧﺍﻮﻴﺣ ;ﺔﻴﻧﺍﻮﻴﺤﻟﺍ ﺀﺎﻀﻋﻷﺍ ﻒﺋﺎﻇﻭ ﻢﻠﻋ
ﻑﺰﺨﻟﺍ ;ﻑﺰﺧ ;ﺭﺎﺨﻔﻟﺍ ﺔﻋﺎﻨﺻ
ﺖﺤﻨﻟﺍ ;ﺖﺤﻧ ;ﺔﻴﻠﻴﻜﺸﺘﻟﺍ ﻥﻮﻨﻔﻟﺍ
ﻢﺳﺮﻟﺍ ;ﻢﺳﺭ ;ﻲﺘﻳﺰﻟﺍ ﻢﺳﺮﻟﺍ
ﺔﻴﻋﺍﺪﺑﻹﺍ ﻝﺎﻤﻋﻷﺍ ;ﻉﺍﺪﺑﺇ ;ﻉﺍﺪﺑﻹﺍ
ﻱﺮﻴﺒﻌﺘﻟﺍ ﻦﻔﻟﺍ ;ﺔﻳﺮﻴﺒﻌﺗ ;ﺔﻳﺮﻴﺒﻌﺘﻟﺍ
ﺕﺎﻴﻟﺎﻤﺠﻟﺍ ;ﺕﺎﻴﻟﺎﻤﺟ ;ﻝﺎﻤﺠﻟﺍ ﻢﻠﻋ
ﻢﻴﻣﺎﺼﺘﻟﺍ ;ﻢﻴﻤﺼﺗ ;ﻢﻴﻤﺼﺘﻟﺍ
ﺕﺎﻤﺴﺠﻤﻟﺍ ;ﺕﺎﻤﺴﺠﻣ ;ﺖﺤﻨﻟﺍ ﻦﻓ
ﻲﻋﺎﺒﻄﻧﻻﺍ ﻦﻔﻟﺍ ;ﺔﻴﻋﺎﺒﻄﻧﺍ ;ﺔﻴﻋﺎﺒﻄﻧﻻﺍ
ﻥﻮﻨﻔﻟﺍ ;ﺀﺍﺩﻷﺍ ﻥﻮﻨﻓ ;ﺔﻴﻨﻔﻟﺍ ﺔﻋﺍﺮﺒﻟﺍ

// Construction
ﺕﺍﺀﺎﺸﻧﻹﺍ ;ﺕﺍﺀﺎﺸﻧﺇ ;ﺔﻴﺋﺎﺸﻧﻹﺍ ﺔﺳﺪﻨﻬﻟﺍ
ﺓﺭﺎﻤﻌﻟﺍ ;ﺓﺭﺎﻤﻋ ;ﺀﺎﻨﺒﻟﺍ
ﺔﺳﺪﻨﻬﻟﺍ ;ﺔﺳﺪﻨﻫ ;ﺔﻳﺭﺎﻤﻌﻤﻟﺍ ﺔﺳﺪﻨﻬﻟﺍ
ﻥﺎﻴﻨﺒﻟﺍ ;ﺀﺎﻨﺑ ;ﺔﻴﻧﺪﻤﻟﺍ ﺔﺳﺪﻨﻬﻟﺍ
ﻂﻴﻄﺨﺘﻟﺍ ;ﻂﻴﻄﺨﺗ ;ﻲﺳﺪﻨﻬﻟﺍ ﻢﻴﻤﺼﺘﻟﺍ
ﺀﺎﻨﺒﻟﺍ ﺓﺩﺎﻋﺇ ;ﺀﺎﻨﺑ ﺓﺩﺎﻋﺇ ;ﻢﻴﻣﺮﺘﻟﺍ
ﺭﺎﻤﻌﻤﻟﺍ ;ﺭﺎﻤﻌﻣ ;ﻢﻳﺪﻘﻟﺍ ﺓﺭﺎﻤﻌﻟﺍ ﻦﻓ
ﺪﻋﺍﻮﻘﻟﺍ ;ﺪﻋﺍﻮﻗ ;ﻲﻧﺎﺒﻤﻟﺍ ﺲﻴﺳﺄﺗ
ﺓﺭﺎﺠﻨﻟﺍ ;ﺓﺭﺎﺠﻧ ;ﺓﺭﺎﺠﻨﻟﺍ ﻝﺎﻤﻋﺃ
ﺔﻴﺘﺤﺘﻟﺍ ﺔﻴﻨﺒﻟﺍ ;ﺔﻴﺘﺤﺗ ﺔﻴﻨﺑ ;ﺔﻴﺘﺤﺘﻟﺍ ﺔﻴﻨﺒﻟﺍ ﺮﻳﻮﻄﺗ

// Cooking
ﺦﺒﻄﻟﺍ ;ﺦﺒﻃ ;ﺦﺒﻄﻟﺍ ﻦﻓ
ﺕﺎﻴﻤﺤﻟﺍ ;ﺔﻴﻤﺣ ;ﺔﻳﺬﻐﺘﻟﺍ ﻢﻠﻋ
ﺕﺎﻨﺠﻌﻤﻟﺍ ;ﺕﺎﻨﺠﻌﻣ ;ﺰﺒﺨﻟﺍ
ﺔﻴﻬﺸﻟﺍ ﻕﺎﺒﻃﻷﺍ ;ﺔﻴﻬﺷ ﻕﺎﺒﻃﺃ ;ﻲﻬﻄﻟﺍ ﻥﻮﻨﻓ
ﻡﺎﻌﻄﻟﺍ ﺕﺎﻔﺻﻭ ;ﻡﺎﻌﻃ ﺕﺎﻔﺻﻭ ;ﺕﺎﻔﺻﻮﻟﺍ ﺩﺍﺪﻋﺇ
ﻕﻭﺬﺘﻟﺍ ;ﻕﻭﺬﺗ ;ﻞﻛﻷﺍ ﻦﻓ
ﺕﺎﻬﻜﻨﻟﺍ ﺭﺎﺒﺘﺧﺍ ;ﻢﻌﻄﻟﺍ ﺭﺎﺒﺘﺧﺍ ;ﻕﻭﺬﺘﻟﺍ ﻦﻓ
ﻱﺪﻴﻠﻘﺘﻟﺍ ﺦﺒﻄﻤﻟﺍ ;ﻱﺪﻴﻠﻘﺗ ﺦﺒﻄﻣ ;ﺓﺎﻬﻄﻟﺍ ﺕﺍﺭﺎﻬﻣ
ﺕﺍﺭﺎﻬﺒﻟﺍ ;ﺕﺍﺭﺎﻬﺑ ;ﻞﺑﺍﻮﺘﻟﺍ ﺮﻴﻀﺤﺗ
ﺔﻴﺋﺍﺬﻐﻟﺍ ﺔﻤﻈﻧﻷﺍ ;ﻲﺋﺍﺬﻏ ﻡﺎﻈﻧ ;ﺔﻤﻴﻠﺴﻟﺍ ﺔﻳﺬﻐﺘﻟﺍ
ﺔﻬﻜﻨﻟﺍ ﻢﻠﻋ ;ﺔﻬﻜﻨﻟﺍ ﻢﻠﻋ ;ﻲﺒﺼﻋ ﻕﻭﺬﺗ
ﺕﺎﺼﻠﺼﻟﺍ ;ﺕﺎﺻﻮﺻ ;ﺕﺎﺼﻠﺼﻟﺍ ﺮﻴﻀﺤﺗ
ﺪﺋﺍﻮﻤﻟﺍ ﻖﻴﺴﻨﺗ ;ﺓﺪﺋﺎﻤﻟﺍ ﻖﻴﺴﻨﺗ ;ﻢﻳﺪﻘﺘﻟﺍ ﻦﻓ

// Crafting
ﺔﻳﻭﺪﻴﻟﺍ ﻑﺮﺤﻟﺍ ;ﺔﻳﻭﺪﻳ ﺔﻓﺮﺣ ;ﺔﻳﻭﺪﻴﻟﺍ ﻝﺎﻐﺷﻷﺍ
ﺔﻃﺎﻴﺨﻟﺍ ;ﺔﻃﺎﻴﺧ ;ﺕﺎﺟﻮﺴﻨﻤﻟﺍ ﺔﻋﺎﻨﺻ
ﺝﺎﺘﻧﻹﺍ ;ﺝﺎﺘﻧﺇ ;ﺔﻋﺎﻨﺼﻟﺍ
ﺔﻳﻭﺪﻴﻟﺍ ﻝﺎﻤﻋﻷﺍ ;ﻱﻭﺪﻳ ﻞﻤﻋ ;ﻱﻭﺪﻴﻟﺍ ﻊﻴﻨﺼﺘﻟﺍ
ﺔﻴﻓﺮﺤﻟﺍ ﺕﺍﺭﺎﻬﻤﻟﺍ ;ﺔﻴﻓﺮﺣ ﺕﺍﺭﺎﻬﻣ ;ﺔﻴﻨﻬﻤﻟﺍ ﻑﺮﺤﻟﺍ
ﺓﺩﺍﺪﺤﻟﺍ ;ﺓﺩﺍﺪﺣ ;ﻥﺩﺎﻌﻤﻟﺍ ﻞﻴﻜﺸﺗ
ﻦﻬﻤﻟﺍ ;ﺔﻨﻬﻣ ;ﺔﻳﺪﻴﻠﻘﺘﻟﺍ ﻑﺮﺤﻟﺍ
ﺰﻳﺮﻔﺘﻟﺍ ;ﺰﻳﺮﻔﺗ ;ﺔﻃﺍﺮﺨﻟﺍ ﻝﺎﻤﻋﺃ
ﺔﻴﺋﺍﺪﺒﻟﺍ ﺕﺎﻋﺎﻨﺼﻟﺍ ;ﺔﻴﺋﺍﺪﺑ ﺔﻋﺎﻨﺻ ;ﻲﻟﺰﻨﻤﻟﺍ ﺝﺎﺘﻧﻹﺍ

// Intellectual
ﺀﺎﻳﺰﻴﻔﻟﺍ ;ﺀﺎﻳﺰﻴﻓ ;ﺀﺎﻳﺰﻴﻔﻟﺍ
ﺀﺎﻴﻤﻴﻜﻟﺍ ;ﺀﺎﻴﻤﻴﻛ ;ﺀﺎﻴﻤﻴﻜﻟﺍ
ﺕﺍﺭﺍﺪﻤﻟﺍ ;ﺕﺍﺭﺍﺪﻣ ;ﺕﺍﺭﺍﺪﻤﻟﺍ ﺎﻜﻴﻧﺎﻜﻴﻣ
ﺏﺎﺴﺤﻟﺍ ;ﺏﺎﺴﺣ ;ﺕﺎﻴﺿﺎﻳﺮﻟﺍ
ﺎﻴﺟﻮﻟﻮﻴﺒﻟﺍ ;ﺎﻴﺟﻮﻟﻮﻴﺑ ;ﺀﺎﻴﺣﻷﺍ
ﺔﻌﻴﺒﻄﻟﺍ ﻡﻮﻠﻋ ;ﺔﻌﻴﺒﻄﻟﺍ ﻡﻮﻠﻋ ;ﺔﻴﻌﻴﺒﻄﻟﺍ ﻡﻮﻠﻌﻟﺍ
ﺕﺎﺳﺍﺭﺪﻟﺍ ;ﺕﺎﺳﺍﺭﺩ ;ﺔﻤﻈﻧﻷﺍ ﻞﻴﻠﺤﺗ
ﺕﺍﺭﺎﻜﺘﺑﻻﺍ ;ﺕﺍﺭﺎﻜﺘﺑﺍ ;ﻲﻤﻠﻌﻟﺍ ﺭﺎﻜﺘﺑﻻﺍ
ﺕﺎﻓﺎﺸﺘﻛﻻﺍ ;ﺕﺎﻓﺎﺸﺘﻛﺍ ;ﺔﻴﻤﻠﻌﻟﺍ ﺕﺎﻓﺎﺸﺘﻛﻻﺍ
ﺕﻼﻴﻠﺤﺘﻟﺍ ;ﻞﻴﻠﺤﺗ ;ﻲﻘﻄﻨﻤﻟﺍ ﻞﻴﻠﺤﺘﻟﺍ
ﺏﺭﺎﺠﺘﻟﺍ ;ﺏﺭﺎﺠﺗ ;ﻲﻤﻠﻌﻟﺍ ﺐﻳﺮﺠﺘﻟﺍ
ﻙﺍﺭﺩﻹﺍ ;ﻙﺍﺭﺩﺇ ;ﺔﻓﺮﻌﻤﻟﺍ ﺔﻳﺮﻈﻧ
ﺕﺎﻧﺎﻴﺒﻟﺍ ﺔﺠﻟﺎﻌﻣ ;ﺕﺎﻧﺎﻴﺑ ﺔﺠﻟﺎﻌﻣ ;ﺕﺎﻧﺎﻴﺒﻟﺍ ﻞﻴﻠﺤﺗ
ﻡﻮﻠﻌﻟﺍ ;ﻡﻮﻠﻋ ;ﺔﻴﻤﻠﻌﻟﺍ ﺔﻓﺮﻌﻤﻟﺍ
ﻖﻄﻨﻤﻟﺍ ;ﻖﻄﻨﻣ ;ﻱﺮﻜﻔﻟﺍ ﺮﻳﻮﻄﺘﻟﺍ
ﻢﻴﻠﻌﺘﻟﺍ ;ﻢﻴﻠﻌﺗ ;ﺔﻴﺑﺮﺘﻟﺍ ﻝﻮﺻﺃ
ﺮﺋﺎﻈﻨﻟﺍ ;ﺮﺋﺎﻈﻧ ;ﻲﻤﻜﻟﺍ ﻞﻴﻠﺤﺘﻟﺍ
ﺕﺍﺭﺎﺒﺘﺧﻻﺍ ;ﺕﺍﺭﺎﺒﺘﺧﺍ ;ﺏﺭﺎﺠﺘﻟﺍ ﻢﻴﻤﺼﺗ
ﺔﺒﻗﺍﺮﻤﻟﺍ ;ﺔﺒﻗﺍﺮﻣ ;ﻲﻤﻠﻌﻟﺍ ﺚﺤﺒﻟﺍ
ﺀﺍﺮﻘﺘﺳﻻﺍ ;ﺀﺍﺮﻘﺘﺳﺍ ;ﻲﺋﺍﺮﻘﺘﺳﻻﺍ ﻝﻻﺪﺘﺳﻻﺍ
ﺝﺎﺘﻨﺘﺳﻻﺍ ;ﺝﺎﺘﻨﺘﺳﺍ ;ﻲﺟﺎﺘﻨﺘﺳﻻﺍ ﻝﻻﺪﺘﺳﻻﺍ

// Medicine
ﺐﻄﻟﺍ ;ﺐﻃ ;ﺐﻄﻟﺍ
ﺔﺣﺍﺮﺠﻟﺍ ;ﺔﺣﺍﺮﺟ ;ﺔﺣﺍﺮﺠﻟﺍ
ﻢﻴﺛﺍﺮﺠﻟﺍ ;ﻢﻴﺛﺍﺮﺟ ;ﺎﻳﺮﻴﺘﻜﺒﻟﺍ ﻢﻠﻋ
ﺕﺎﺑﺎﺻﻹﺍ ﺝﻼﻋ ;ﺕﺎﺑﺎﺻﻹﺍ ﺝﻼﻋ ;ﺡﻭﺮﺠﻟﺍ ﻡﺎﺌﺘﻟﺍ
ﺔﻣﺎﻌﻟﺍ ﺔﺤﺼﻟﺍ ;ﺔﻣﺎﻋ ﺔﺤﺻ ;ﺔﻴﺤﺼﻟﺍ ﺔﻳﺎﻋﺮﻟﺍ
ﺝﻼﻌﻟﺍ ;ﺝﻼﻋ ;ﺔﻴﺒﻄﻟﺍ ﻡﻮﻠﻌﻟﺍ
ﺎﻴﺟﻮﻟﻮﻴﺴﻔﻟﺍ ;ﺎﻴﺟﻮﻟﻮﻴﺴﻓ ;ﺀﺎﻀﻋﻷﺍ ﻒﺋﺎﻇﻭ ﻢﻠﻋ
ﺔﻟﺪﻴﺼﻟﺍ ;ﺔﻟﺪﻴﺻ ;ﺔﻳﻭﺩﻷﺍ ﻢﻠﻋ
ﺔﺑﺎﺒﻄﻟﺍ ;ﺔﺑﺎﺒﻃ ;ﺓﺍﻭﺍﺪﻤﻟﺍ ﻦﻓ
ﺕﺎﺼﻴﺨﺸﺘﻟﺍ ;ﺺﻴﺨﺸﺗ ;ﻲﺒﻄﻟﺍ ﺺﻴﺨﺸﺘﻟﺍ
ﺢﻳﺮﺸﺘﻟﺍ ;ﺢﻳﺮﺸﺗ ;ﺢﻳﺮﺸﺘﻟﺍ ﻢﻠﻋ
ﺎﻴﺟﻮﻟﻮﻴﺑﻭﺮﻜﻴﻤﻟﺍ ;ﺎﻴﺟﻮﻟﻮﻴﺑﻭﺮﻜﻴﻣ ;ﺔﻘﻴﻗﺪﻟﺍ ﺀﺎﻴﺣﻷﺍ
ﺎﻴﺟﻮﻟﻮﺛﺎﺒﻟﺍ ;ﺎﻴﺟﻮﻟﻮﺛﺎﺑ ;ﺽﺍﺮﻣﻷﺍ ﻢﻠﻋ
ﺔﻳﺎﻗﻮﻟﺍ ;ﺔﻳﺎﻗﻭ ;ﺽﺍﺮﻣﻷﺍ ﻦﻣ ﺔﻳﺎﻗﻮﻟﺍ
ﻒﺜﻜﻤﻟﺍ ﺝﻼﻌﻟﺍ ;ﻒﺜﻜﻣ ﺝﻼﻋ ;ﺓﺰﻛﺮﻤﻟﺍ ﺔﻳﺎﻨﻌﻟﺍ
ﺕﺎﻓﺎﻌﺳﻹﺍ ;ﺕﺎﻓﺎﻌﺳﺇ ;ﺉﺭﺍﻮﻄﻟﺍ ﺐﻃ
ﺾﻳﺮﻤﺘﻟﺍ ;ﺾﻳﺮﻤﺗ ;ﻰﺿﺮﻤﻟﺍ ﺔﻳﺎﻋﺭ
ﺮﻴﻗﺎﻘﻌﻟﺍ ;ﺮﻴﻗﺎﻘﻋ ;ﺔﻳﺮﻳﺮﺴﻟﺍ ﺙﺎﺤﺑﻷﺍ
ﺔﻴﺤﺼﻟﺍ ﺔﻳﺎﻗﻮﻟﺍ ;ﺔﻴﺤﺻ ﺔﻳﺎﻗﻭ ;ﺔﻣﺎﻌﻟﺍ ﺔﻓﺎﻈﻨﻟﺍ
ﺕﺎﺳﻭﺮﻴﻔﻟﺍ ;ﺕﺎﺳﻭﺮﻴﻓ ;ﺕﺎﺳﻭﺮﻴﻔﻟﺍ ﻢﻠﻋ
ﺞﻴﻨﺒﺘﻟﺍ ;ﺞﻴﻨﺒﺗ ;ﺮﻳﺪﺨﺘﻟﺍ

// Melee
ﻙﺭﺎﻌﻤﻟﺍ ;ﻙﺭﺎﻌﻣ ;ﺐﻳﺮﻘﻟﺍ ﻝﺎﺘﻘﻟﺍ
ﺔﻋﺭﺎﺼﻤﻟﺍ ;ﺔﻋﺭﺎﺼﻣ ;ﺔﻴﻟﺎﺘﻘﻟﺍ ﻥﻮﻨﻔﻟﺍ
ﺮﺟﺎﻨﺨﻟﺍ ;ﺮﺟﺎﻨﺧ ;ﻦﻴﻛﺎﻜﺴﻟﺎﺑ ﻝﺎﺘﻘﻟﺍ
ﻱﻭﺪﻴﻟﺍ ﻝﺎﺘﻘﻟﺍ ;ﻱﻭﺪﻳ ﻝﺎﺘﻗ ;ﺏﺮﺤﻟﺍ ﻥﻮﻨﻓ
ﺎﻣﺯﻼﺒﻟﺍ ﻒﻴﺳ ;ﺎﻣﺯﻼﺑ ﻒﻴﺳ ;ﻒﻴﺴﻟﺎﺑ ﺓﺯﺭﺎﺒﻤﻟﺍ
ﻝﺎﺼِﻨﻟﺍ ;ﻝﺎﺼِﻧ ;ﺀﺎﻀﻴﺒﻟﺍ ﺔﺤﻠﺳﻷﺍ
ﺕﺍﺮﺟﺎﺸﻤﻟﺍ ;ﺓﺮﺟﺎﺸﻣ ;ﻱﻭﺪﻴﻟﺍ ﻙﺍﺮﻌﻟﺍ
ﻱﺪﻳﻷﺎﺑ ﻝﺎﺘﻘﻟﺍ ;ﻱﺪﻳﻷﺎﺑ ﻝﺎﺘﻗ ;ﺔﻤﻛﻼﻤﻟﺍ
ﻑﻮﻴﺴﻟﺍ ;ﻑﻮﻴﺳ ;ﺓﺯﺭﺎﺒﻤﻟﺍ ﻦﻓ
ﺔﻋﺎﺠﺸﻟﺍ ;ﺔﻋﺎﺠﺷ ;ﺔﻴﺳﻭﺮﻔﻟﺍ
ﺕﺍﺯﺭﺎﺒﻤﻟﺍ ;ﺕﺍﺯﺭﺎﺒﻣ ;ﺕﻻﺍﺰﻨﻟﺍ ﻢﻴﻈﻨﺗ

// Mining
ﺽﺭﻷﺍ ﻑﻮﺟ ;ﺽﺭﻷﺍ ﻑﻮﺟ ;ﻦﻳﺪﻌﺘﻟﺍ
ﻢﻤﻘﻟﺍ ;ﻢﻤﻗ ;ﻝﺎﺒﺠﻟﺍ ﺮﻔﺣ
ﺐﻫﺬﻟﺍ ;ﺐﻫﺫ ;ﺐﻫﺬﻟﺍ ﺝﺍﺮﺨﺘﺳﺍ
ﺔﻴﻌﻴﺒﻄﻟﺍ ﺩﺭﺍﻮﻤﻟﺍ ;ﺔﻴﻌﻴﺒﻃ ﺩﺭﺍﻮﻣ ;ﺩﺭﺍﻮﻤﻟﺍ ﺝﺍﺮﺨﺘﺳﺍ
ﺕﺍﺯﺍﺰﺘﻫﻻﺍ ;ﺕﺍﺯﺍﺰﺘﻫﺍ ;ﻝﺯﻻﺰﻟﺍ ﻢﻠﻋ
ﺽﺭﻷﺍ ﺢﺴﻣ ;ﺽﺭﻷﺍ ﺢﺴﻣ ;ﻲﺟﻮﻟﻮﻴﺠﻟﺍ ﻑﺎﺸﻜﺘﺳﻻﺍ
ﺕﺎﻣﺎﺨﻟﺍ ;ﺕﺎﻣﺎﺧ ;ﻦﻳﺪﻌﺘﻟﺍ ﺔﻋﺎﻨﺻ
ﻕﺎﻔﻧﻷﺍ ;ﻕﺎﻔﻧﺃ ;ﻕﺎﻔﻧﻷﺍ ﺮﻔﺣ
ﺮﻔﺤﻟﺍ ;ﺮﻔﺣ ;ﺐﻴﻘﻨﺘﻟﺍ ﻝﺎﻤﻋﺃ
ﺓﺭﺩﺎﻨﻟﺍ ﻥﺩﺎﻌﻤﻟﺍ ;ﺓﺭﺩﺎﻧ ﻥﺩﺎﻌﻣ ;ﻥﺩﺎﻌﻤﻟﺍ ﻢﻠﻋ
ﺮﻫﺍﻮﺠﻟﺍ ;ﺮﻫﺍﻮﺟ ;ﺔﻤﻳﺮﻜﻟﺍ ﺭﺎﺠﺣﻷﺍ ﻢﻠﻋ
ﺽﺭﻷﺍ ﻢﻠﻋ ;ﺽﺭﻷﺍ ﻢﻠﻋ ;ﺎﻴﺟﻮﻟﻮﻴﺠﻟﺍ
ﺭﻮﺨﺼﻟﺍ ﺭﺍﺮﻘﺘﺳﺍ ;ﺭﻮﺨﺼﻟﺍ ﺭﺍﺮﻘﺘﺳﺍ ;ﺔﺑﺮﺘﻟﺍ ﺎﻜﻴﻧﺎﻜﻴﻣ

// Plants
ﺕﺎﺗﺎﺒﻨﻟﺍ ;ﺕﺎﺗﺎﺒﻧ ;ﺕﺎﺒﻨﻟﺍ ﺎﻴﺟﻮﻟﻮﻴﺴﻓ
ﻢﻴﺠﻳﺮﻳﺰﻟﺍ ;ﻢﻴﺠﻳﺮﻳﺯ ;ﺔﻴﺒﻄﻟﺍ ﺏﺎﺸﻋﻷﺍ ﺔﻋﺍﺭﺯ
ﺭﺎﻀﺨﻟﺍ ;ﺭﺎﻀﺧ ;ﺕﺍﻭﺮﻀﺨﻟﺍ ﺔﻋﺍﺭﺯ
ﺔﻴﺗﺎﺒﻨﻟﺍ ﺓﺎﻴﺤﻟﺍ ;ﺔﻴﺗﺎﺒﻧ ﺓﺎﻴﺣ ;ﺕﺎﺗﺎﺒﻨﻟﺍ ﻑﺎﺸﻜﺘﺳﺍ
ﺔﻔﺜﻜﻤﻟﺍ ﺔﻋﺍﺭﺰﻟﺍ ;ﺔﻔﺜﻜﻣ ﺔﻋﺍﺭﺯ ;ﻉﺍﺭﺰﺘﺳﻻﺍ
ﻥﺎﺘﺴﺒﻟﺍ ;ﻥﺎﺘﺴﺑ ;ﻖﺋﺍﺪﺤﻟﺍ ﺔﻋﺍﺭﺯ
ﺭﺎﻫﺯﻷﺍ ;ﺭﺎﻫﺯﺃ ;ﺭﻮﻫﺰﻟﺍ ﺔﻋﺍﺭﺯ
ﻖﺋﺍﺪﺤﻟﺍ ;ﻖﺋﺍﺪﺣ ;ﻦﻴﺗﺎﺴﺒﻟﺍ ﻢﻠﻋ
ﺔﻋﺍﺭﺰﻟﺍ ;ﺔﻋﺍﺭﺯ ;ﺔﺣﻼﻔﻟﺍ
ﻞﻴﺻﺎﺤﻤﻟﺍ ﻦﻴﺴﺤﺗ ;ﻞﻴﺻﺎﺤﻤﻟﺍ ﻦﻴﺴﺤﺗ ;ﺕﺎﺗﺎﺒﻨﻟﺍ ﻦﻴﺠﻬﺗ
ﻲﺌﻴﺒﻟﺍ ﻥﺯﺍﻮﺘﻟﺍ ;ﻲﺌﻴﺑ ﻥﺯﺍﻮﺗ ;ﺔﻣﺍﺪﺘﺴﻤﻟﺍ ﺔﻋﺍﺭﺰﻟﺍ
ﺕﺎﺗﺎﺒﻨﻟﺍ ;ﺎﻜﻴﻧﺎﺗﻮﺑ ;ﺕﺎﺒﻨﻟﺍ ﻢﻠﻋ
ﻉﻭﺭﺰﻟﺍ ;ﻉﻭﺭﺯ ;ﻞﻴﺻﺎﺤﻤﻟﺍ ﺝﺎﺘﻧﺇ
ﺔﺑﻮﺼﺨﻟﺍ ;ﺔﺑﻮﺼﺧ ;ﺔﺑﺮﺘﻟﺍ ﺐﻴﺼﺨﺗ
ﺔﻴﻌﻴﺒﻄﻟﺍ ﺔﻋﺍﺭﺰﻟﺍ ;ﺔﻴﻌﻴﺒﻃ ﺔﻋﺍﺭﺯ ;ﺔﻳﻮﻀﻌﻟﺍ ﺔﻋﺍﺭﺰﻟﺍ
ﻞﻴﺻﺎﺤﻤﻟﺍ ;ﻞﻴﺻﺎﺤﻣ ;ﺏﻮﺒﺤﻟﺍ ﺝﺎﺘﻧﺇ
ﺔﻴﻋﺍﺭﺰﻟﺍ ﺔﺳﺪﻨﻬﻟﺍ ;ﺔﻴﻋﺍﺭﺯ ﺔﺳﺪﻨﻫ ;ﺔﻋﺍﺭﺰﻟﺍ ﻢﻠﻋ

// Shooting
